Package Name,Analyzer Version,Dev Version,Dev Date,Published Date,Published Version,Repository URL,Created At,Updated At
masamune_builder,^7.0.0,3.0.6,2025-07-03T22:07:57.000,2025-07-01T07:42:11.000,3.0.6,https://github.com/mathrunet/flutter_masamune/tree/master/packages/masamune_builder,2025-07-03T22:07:57.000,2025-07-03T22:07:57.000
flora_orm,^7.3.0,2.0.27,2025-07-03T22:07:57.000,2025-05-24T15:32:02.000,2.0.27,https://github.com/tatlacas-com/flora_orm/tree/main,2025-07-03T22:07:57.000,2025-07-03T22:07:57.000
bittorrent_dht,any,0.0.12,2025-07-03T22:07:56.000,2024-04-27T23:25:28.000,0.0.12,https://github.com/moham96/bittorrent_dht,2025-07-03T22:07:56.000,2025-07-03T22:07:56.000
bgg_api,^4.2.0,0.7.0,2025-07-03T22:07:55.000,2023-07-24T18:41:12.000,0.8.0,https://github.com/bartektartanus/bgg_api,2025-07-03T22:07:55.000,2025-07-03T22:07:55.000
bloc_state_gen,^6.11.0,1.1.0,2025-07-03T22:07:54.000,2025-01-15T09:54:43.000,1.1.0,https://github.com/azharbinanwar/bloc_state_gen,2025-07-03T22:07:54.000,2025-07-03T22:07:54.000
shelf_open_api_generator,,,2025-07-03T22:07:53.000,2023-12-25T19:43:28.000,2.0.0,https://github.com/BreX900/open_api,2025-07-03T22:07:53.000,2025-07-03T22:07:53.000
galileo_orm_generator,,,2025-07-03T22:07:53.000,2021-05-05T16:54:50.000,3.0.1,https://github.com/insinfo/galileo/tree/master/packages/orm,2025-07-03T22:07:53.000,2025-07-03T22:07:53.000
shelf_easy,^6.2.0,3.5.2,2025-07-03T22:07:52.000,2024-10-30T18:47:13.000,3.5.2,https://github.com/yangfanyu/shelf_easy,2025-07-03T22:07:52.000,2025-07-03T22:07:52.000
flutter_navigation_generator,,,2025-07-03T22:07:51.000,2025-05-24T09:49:30.000,2.2.0,https://github.com/ikbendewilliam/flutter_navigation_generator,2025-07-03T22:07:51.000,2025-07-03T22:07:51.000
typed_sql,,,2025-07-03T22:07:50.000,2025-05-22T15:55:33.000,0.1.3,https://github.com/google/dart-neats.git,2025-07-03T22:07:50.000,2025-07-03T22:07:50.000
floor_generator,,,2025-07-03T22:07:49.000,2024-05-08T09:57:44.000,1.5.0,https://github.com/pinchbv/floor,2025-07-03T22:07:49.000,2025-07-03T22:07:49.000
angel_orm_generator,,,2025-07-03T22:07:48.000,2019-07-04T23:57:04.000,2.0.5,https://github.com/angel-dart/orm,2025-07-03T22:07:48.000,2025-07-03T22:07:48.000
easy_downloader,^5.13.0,0.0.29,2025-07-03T22:07:48.000,2023-07-01T03:20:03.000,0.0.30,https://github.com/linkkader/easy_downloader,2025-07-03T22:07:48.000,2025-07-03T22:07:48.000
realm_generator,,unknown,2025-07-03T22:07:47.000,2025-05-13T22:23:45.000,20.1.1,https://github.com/realm/realm-dart,2025-07-03T22:07:47.000,2025-07-03T22:07:47.000
stormberry,^7.0.0,0.16.0,2025-07-03T22:07:45.000,2025-05-30T11:01:16.000,0.16.0,https://github.com/schultek/stormberry,2025-07-03T22:07:45.000,2025-07-03T22:07:45.000
quanta_db,^6.11.0,0.0.8,2025-07-03T22:07:45.000,2025-06-12T06:11:30.000,0.0.8,https://github.com/champ96k/quanta_db,2025-07-03T22:07:45.000,2025-07-03T22:07:45.000
atlassian_apis,any,0.15.0,2025-07-03T22:07:44.000,2023-08-28T15:14:11.000,0.15.0,https://github.com/xvrh/atlassian_apis,2025-07-03T22:07:44.000,2025-07-03T22:07:44.000
swagger_to_dart,,,2025-07-03T22:07:44.000,2025-06-23T14:59:57.000,3.0.1,,2025-07-03T22:07:44.000,2025-07-03T22:07:44.000
nilts,,unknown,2025-07-03T22:07:43.000,2025-05-31T07:52:09.000,0.23.1,https://github.com/dassssshers/nilts,2025-07-03T22:07:43.000,2025-07-03T22:07:43.000
gql_build,,unknown,2025-07-03T22:07:42.000,2024-01-13T03:46:42.000,0.11.0+1,https://github.com/gql-dart/gql,2025-07-03T22:07:42.000,2025-07-03T22:07:42.000
altive_lints,,unknown,2025-07-03T22:07:41.000,2025-05-31T11:24:48.000,1.21.0,https://github.com/altive/altive_lints,2025-07-03T22:07:41.000,2025-07-03T22:07:41.000
shopify_flutter,^6.2.0,2.6.0,2025-07-03T22:07:40.000,2025-06-05T15:15:02.000,2.6.0,https://github.com/imsujan276/shopify_flutter,2025-07-03T22:07:40.000,2025-07-03T22:07:40.000
go_router_builder,>=6.9.0 <8.0.0,3.0.1,2025-07-03T22:07:40.000,2025-06-19T00:37:12.000,3.0.1,https://github.com/flutter/packages/tree/main/packages/go_router_builder,2025-07-03T22:07:40.000,2025-07-03T22:07:40.000
test,>=6.0.0 <8.0.0,1.26.2,2025-07-03T22:07:39.000,2025-05-21T12:01:38.000,1.26.2,https://github.com/dart-lang/test/tree/master/pkgs/test,2025-07-03T22:07:39.000,2025-07-03T22:07:39.000
openfoodfacts,6.11.0,3.23.0,2025-07-03T22:02:36.000,2025-06-18T09:51:31.000,3.23.0,https://github.com/openfoodfacts/openfoodfacts-dart,2025-07-03T22:02:36.000,2025-07-03T22:02:36.000
sqlbrite,,,2025-07-03T22:02:36.000,2024-08-13T12:20:59.000,2.8.0,https://github.com/hoc081098/sqlbrite.git,2025-07-03T22:02:36.000,2025-07-03T22:02:36.000
chrome_extension,null,0.4.0,2025-07-03T22:02:36.000,2024-08-16T08:48:11.000,0.4.0,https://github.com/xvrh/chrome_extension.dart,2025-07-03T22:02:36.000,2025-07-03T22:02:36.000
typesense,^7.2.0,0.5.2,2025-07-03T22:02:35.000,2025-01-23T07:01:32.000,0.5.2,https://github.com/typesense/typesense-dart,2025-07-03T22:02:35.000,2025-07-03T22:02:35.000
fuzzywuzzy,^7.0.0,1.2.0,2025-07-03T22:02:35.000,2024-08-15T20:34:02.000,1.2.0,https://github.com/sphericalkat/dart-fuzzywuzzy,2025-07-03T22:02:35.000,2025-07-03T22:02:35.000
shelf_routing_generator,,,2025-07-03T22:02:33.000,2024-01-14T16:16:18.000,0.1.0,https://github.com/BreX900/mek-packages,2025-07-03T22:02:33.000,2025-07-03T22:02:33.000
drift,,unknown,2025-07-03T22:02:33.000,2025-06-14T15:23:56.000,2.27.0,https://github.com/simolus3/drift,2025-07-03T22:02:33.000,2025-07-03T22:02:33.000
